CO,PT08.S1,PT08.S2,PT08.S3,PT08.S4,PT08.S5,T,RH,AH
2.9,1383,1020,1008,1719,1104,9.8,67.6,0.8185
4.8,1581,1319,799,2083,1409,10.3,64.2,0.8065
6.9,1776,1488,702,2333,1704,9.7,69.3,0.8319
6.1,1640,1404,743,2191,1654,9.6,67.8,0.8133
3.9,1313,1076,957,1707,1285,9.1,64,0.7419
1.5,965,749,1325,1333,821,8.2,63.4,0.6905
1,913,629,1565,1252,552,8.2,60.8,0.6657
1.7,1080,805,1254,1375,816,8.3,58.5,0.6438
1.9,1044,829,1247,1378,832,7.7,59.7,0.6308
1.4,988,718,1396,1304,692,7.1,61.8,0.6276
0.8,889,574,1680,1187,512,7,62.3,0.6261
0.56667,831,506,1893,1134,384,6.1,65.9,0.6248
0.6,847,501,1895,1155,394,6.3,65,0.6233
0.8,927,571,1685,1223,487,6.8,62.9,0.6234
1.4,1091,730,1387,1361,748,6.4,65.1,0.6316
4.4,1587,1236,897,1900,1400,7.3,63.1,0.6499
3.1,1350,1118,912,1712,1237,13.2,41.7,0.632
2.7,1263,1037,969,1598,1167,14.3,38.4,0.6243
2.1,1206,986,1035,1537,959,15,36.5,0.6195
2.5,1252,1016,1008,1593,983,16.1,34.5,0.6262
2.7,1287,1078,949,1660,1061,16.3,35.7,0.656
2.9,1353,1122,922,1740,1139,15.8,37,0.661
2.8,1309,1073,954,1657,1112,15.9,37.2,0.6657
2.4,1274,1041,1006,1610,994,16.9,34.3,0.6549
3.9,1510,1277,812,1910,1410,15.1,39.6,0.6766
3.7,1525,1246,821,1847,1448,14.4,43.4,0.7084
6.6,1843,1610,624,2390,1887,12.9,50.5,0.7478
4.4,1598,1299,752,1941,1627,12.1,53.3,0.7536
3.5,1484,1127,839,1723,1491,11,59.1,0.774
5.4,1677,1346,741,2062,1657,9.7,64.6,0.7771
2.7,1280,964,963,1544,1285,9.5,64.1,0.7597
1.9,1196,873,1071,1463,1144,9.1,63.9,0.7423
1.6,1184,782,1176,1365,1043,8.8,63.9,0.7256
1.7,1172,783,1179,1380,996,7.8,67.5,0.7173
0.86667,1147,821,1132,1412,992,7,71.1,0.7158
1,978,625,1420,1274,819,8.3,63.6,0.6982
1.2,1100,646,1406,1268,835,7.2,67.5,0.6887
1.5,1112,770,1228,1409,940,6.3,71.9,0.6932
2.7,1336,1043,935,1678,1192,6.5,71.6,0.6945
3.7,1408,1153,830,1777,1411,9.6,59.7,0.7124
3.2,1447,1081,869,1667,1465,12.4,51.2,0.7335
4.1,1542,1184,808,1780,1583,15.6,42.2,0.7451
3.6,1451,1117,875,1679,1387,18.4,33.8,0.709
2.8,1328,1059,987,1600,1101,19.4,31.3,0.695
2,1207,924,1088,1488,850,18,34.8,0.7127
2,1240,947,1049,1532,947,18.4,33.6,0.7042
2.5,1306,987,1004,1554,1078,17.6,35.1,0.7012
2.3,1326,1000,976,1602,1084,16.7,37.8,0.7117
3.2,1473,1163,831,1779,1395,16.1,41,0.7451
4.2,1609,1286,758,1922,1612,15.8,42.4,0.7569
4.2,1611,1274,754,1915,1697,15.7,44.1,0.7786
4.2,1621,1247,762,1860,1886,15.3,46.8,0.8091
3.1,1444,1089,844,1748,1624,14.6,48.6,0.806
2.6,1418,1010,892,1603,1536,14.7,49.3,0.8193
2.9,1534,1013,889,1611,1535,13.9,53.6,0.8498
2.8,1484,1045,880,1624,1530,14.6,51.5,0.8536
2.5,1367,925,953,1543,1337,12.5,58.9,0.8537
2.4,1344,968,921,1620,1278,11.6,63.4,0.8674
0.96667,1130,773,1130,1452,1051,12.1,61.1,0.8603
1.2,1062,691,1272,1377,929,11.5,63.1,0.8533
1,1076,618,1395,1333,872,11.6,62.2,0.8473
0.9,1028,615,1384,1340,853,10.4,67.6,0.853
1.4,1155,722,1225,1414,959,11.6,62.7,0.853
1.6,1235,828,1055,1527,1093,12.4,60,0.8627
2.2,1332,923,952,1614,1225,14.5,53.1,0.8728
2.8,1445,1009,878,1696,1355,16.9,46.1,0.8789
2.8,1416,1002,907,1677,1262,19.3,38.3,0.8474
2,1281,880,1084,1525,980,21.2,31.4,0.7812
1.8,1207,879,1104,1490,872,21.4,30.2,0.7616
1.9,1258,906,1081,1511,900,21.9,29,0.7525
3,1458,1045,974,1646,1099,22.2,28.4,0.7516
2.9,1438,1051,943,1668,1206,21.3,30.8,0.7696
2.5,1478,1055,929,1671,1262,19.7,36.7,0.8307
4.6,1808,1312,753,1993,1698,18.4,41.7,0.8732
5.9,1898,1381,681,2103,1905,17.6,46.1,0.921
3.4,1560,1140,784,1818,1648,16.7,49.6,0.932
2.1,1324,940,924,1587,1423,16.3,51,0.9341
2.2,1349,933,933,1617,1349,14.7,55.9,0.9314
1.8,1239,872,985,1547,1250,14.8,54.7,0.9164
1.8,1239,853,1010,1543,1174,14,57,0.9094
1.8,1224,855,998,1566,1149,13.4,61.3,0.9361
1.1,1078,734,1128,1487,1021,12.6,63.5,0.923
0.93333,1078,711,1150,1468,1013,12.3,65.4,0.9351
1,1075,703,1156,1464,1010,11.9,67.4,0.9375
1.4,1157,830,1030,1584,1083,11.4,70.5,0.9475
2.2,1314,966,897,1710,1235,11.3,70.2,0.9401
5.5,1797,1451,652,2323,1680,12.4,63.9,0.917
