tiempo,Tratamiento,Conc,sample,blank,abs
0,T-SA,C1,0.1008,0.0887,0.0121
0,T-SA,C1,0.1011,0.0890,0.0121
0,T-SA,C1,0.0999,0.0926,0.0073
0,T-SA,C2,0.1008,0.0887,0.0121
0,T-SA,C2,0.1011,0.0890,0.0121
0,T-SA,C2,0.0999,0.0926,0.0073
0,T-SA,C3,0.1008,0.0887,0.0121
0,T-SA,C3,0.1011,0.0890,0.0121
0,T-SA,C3,0.0999,0.0926,0.0073
0,TZn0-SA,C1,0.0996,0.0892,0.0104
0,TZn0-SA,C1,0.1007,0.0886,0.0121
0,TZn0-SA,C1,0.1011,0.0884,0.0127
0,TZn0-SA,C2,0.1026,0.0886,0.0140
0,TZn0-SA,C2,0.1030,0.0888,0.0142
0,TZn0-SA,C2,0.1019,0.0891,0.0128
0,TZn0-SA,C3,0.1128,0.0916,0.0212
0,TZn0-SA,C3,0.1138,0.0924,0.0214
0,TZn0-SA,C3,0.1152,0.0929,0.0223
0,TZn1-SA,C1,0.0916,0.0886,0.0030
0,TZn1-SA,C1,0.0943,0.0881,0.0062
0,TZn1-SA,C1,0.0966,0.0890,0.0076
0,TZn1-SA,C2,0.0974,0.0963,0.0011
0,TZn1-SA,C2,0.0973,0.0961,0.0012
0,TZn1-SA,C2,0.0981,0.0969,0.0012
0,TZn1-SA,C3,0.0983,0.0963,0.0020
0,TZn1-SA,C3,0.0980,0.0961,0.0019
0,TZn1-SA,C3,0.0984,0.0969,0.0015
0,TZn5-SA,C1,0.0973,0.0914,0.0059
0,TZn5-SA,C1,0.0963,0.0907,0.0056
0,TZn5-SA,C1,0.0994,0.0915,0.0079
0,TZn5-SA,C2,0.1014,0.0951,0.0063
0,TZn5-SA,C2,0.1019,0.0952,0.0067
0,TZn5-SA,C2,0.0996,0.0937,0.0059
0,TZn5-SA,C3,0.0999,0.0977,0.0022
0,TZn5-SA,C3,0.1033,0.1018,0.0015
0,TZn5-SA,C3,0.1044,0.1027,0.0017
0,TZn10-SA,C1,0.1181,0.0957,0.0224
0,TZn10-SA,C1,0.1153,0.0947,0.0206
0,TZn10-SA,C1,0.1159,0.0950,0.0209
0,TZn10-SA,C2,0.1037,0.0977,0.0060
0,TZn10-SA,C2,0.1040,0.1001,0.0039
0,TZn10-SA,C2,0.1018,0.0993,0.0025
0,TZn10-SA,C3,0.1168,0.1037,0.0131
0,TZn10-SA,C3,0.1135,0.0999,0.0136
0,TZn10-SA,C3,0.1170,0.1023,0.0147
2,T-SA,C1,0.2169,0.0951,0.1218
2,T-SA,C1,0.3067,0.0964,0.2103
2,T-SA,C1,0.2596,0.0959,0.1637
2,T-SA,C2,0.2169,0.0951,0.1218
2,T-SA,C2,0.3067,0.0964,0.2103
2,T-SA,C2,0.2596,0.0959,0.1637
2,T-SA,C3,0.2169,0.0951,0.1218
2,T-SA,C3,0.3067,0.0964,0.2103
2,T-SA,C3,0.2596,0.0959,0.1637
2,TZn0-SA,C1,0.1000,0.0892,0.0108
2,TZn0-SA,C1,0.0998,0.0886,0.0112
2,TZn0-SA,C1,0.1028,0.0884,0.0144
2,TZn0-SA,C2,0.1052,0.0886,0.0166
2,TZn0-SA,C2,0.1003,0.0888,0.0115
2,TZn0-SA,C2,0.1016,0.0891,0.0125
2,TZn0-SA,C3,0.1072,0.0916,0.0156
2,TZn0-SA,C3,0.1099,0.0924,0.0175
