tiempo,Tratamiento,Conc,abs
0,1,400,0.0121
0,1,400,0.0121
0,1,400,0.0073
0,1,800,0.0121
0,1,800,0.0121
0,1,800,0.0073
0,1,1000,0.0121
0,1,1000,0.0121
0,1,1000,0.0073
0,2,400,0.0104
0,2,400,0.0121
0,2,400,0.0127
0,2,800,0.014
0,2,800,0.0142
0,2,800,0.0128
0,2,1000,0.0212
0,2,1000,0.0214
0,2,1000,0.0223
0,3,400,0.003
0,3,400,0.0062
0,3,400,0.0076
0,3,800,0.0011
0,3,800,0.0012
0,3,800,0.0012
0,3,1000,0.002
0,3,1000,0.0019
0,3,1000,0.0015
0,4,400,0.0059
0,4,400,0.0056
0,4,400,0.0079
0,4,800,0.0063
0,4,800,0.0067
0,4,800,0.0059
0,4,1000,0.0022
0,4,1000,0.0015
0,4,1000,0.0017
0,5,400,0.0224
0,5,400,0.0206
0,5,400,0.0209
0,5,800,0.006
0,5,800,0.0039
0,5,800,0.0025
0,5,1000,0.0131
0,5,1000,0.0136
0,5,1000,0.0147
2,1,400,0.1218
2,1,400,0.2103
2,1,400,0.1637
2,1,800,0.1218
2,1,800,0.2103
2,1,800,0.1637
2,1,1000,0.1218
2,1,1000,0.2103
2,1,1000,0.1637
2,2,400,0.0108
2,2,400,0.0112
2,2,400,0.0144
2,2,800,0.0166
2,2,800,0.0115
2,2,800,0.0125
2,2,1000,0.0156
2,2,1000,0.0175
2,2,1000,0.0146
2,3,400,0.0119
2,3,400,0.0168
2,3,400,0.0187
2,3,800,0.0178
2,3,800,0.0085
2,3,800,0.0172
2,3,1000,0.0157
2,3,1000,0.0111
2,3,1000,0.0089
2,4,400,0.0115
2,4,400,0.037
2,4,400,0.0411
2,4,800,0.045
2,4,800,0.0383
2,4,800,0.0373
2,4,1000,0.037
2,4,1000,0.0341
2,4,1000,0.0167
2,5,400,0.0063
2,5,400,0.049
2,5,400,0.0485
2,5,800,0.0637
2,5,800,0.0711
2,5,800,0.0643
2,5,1000,0.0587
2,5,1000,0.0642
2,5,1000,0.0363
4,1,400,0.3349
4,1,400,0.3912
4,1,400,0.3831
4,1,800,0.3349
4,1,800,0.3912
4,1,800,0.3831
4,1,1000,0.3349
4,1,1000,0.3912
4,1,1000,0.3831
4,2,400,0.015
4,2,400,0.0232
4,2,400,0.0413
4,2,800,0.0364
4,2,800,0.0136
4,2,800,0.0161
4,2,1000,0.0382
4,2,1000,0.0567
4,2,1000,0.0299
4,3,400,0.0151
4,3,400,0.142
4,3,400,0.0711
4,3,800,0.0684
4,3,800,0.079
4,3,800,0.0553
4,3,1000,0.0508
4,3,1000,0.0643
4,3,1000,0.0175
4,4,400,0.0138
4,4,400,0.0802
4,4,400,0.0806
4,4,800,0.0627
4,4,800,0.0511
4,4,800,0.0767
4,4,1000,0.0313
4,4,1000,0.0456
4,4,1000,0.0945
4,5,400,0.007
4,5,400,0.0951
4,5,400,0.0868
4,5,800,0.0609
4,5,800,0.0479
4,5,800,0.0242
4,5,1000,0.052
4,5,1000,0.0984
4,5,1000,0.0351
6,1,400,0.4795
6,1,400,0.4601
6,1,400,0.4969
6,1,800,0.4795
6,1,800,0.4601
6,1,800,0.4969
6,1,1000,0.4795
6,1,1000,0.4601
6,1,1000,0.4969
6,2,400,0.0097
6,2,400,0.0131
6,2,400,0.0197
6,2,800,0.0145
6,2,800,0.0115
6,2,800,0.0118
6,2,1000,0.0161
6,2,1000,0.0179
6,2,1000,0.0118
6,3,400,0.0063
6,3,400,0.0123
6,3,400,0.0134
6,3,800,0.0071
6,3,800,0.0052
6,3,800,0.0043
6,3,1000,0.0049
6,3,1000,0.0031
6,3,1000,0.0085
6,4,400,0.018
6,4,400,0.0376
6,4,400,0.0167
6,4,800,0.0057
6,4,800,0.0055
6,4,800,0.0089
6,4,1000,0.0071
6,4,1000,0.0027
6,4,1000,0.0048
6,5,400,0.0104
6,5,400,0.0109
6,5,400,0.0094
6,5,800,0.0119
6,5,800,0.0311
6,5,800,0.0482
6,5,1000,0.0407
6,5,1000,0.0658
6,5,1000,0.0601
8,1,400,0.5339
8,1,400,0.5962
8,1,400,0.5558
8,1,800,0.5339
8,1,800,0.5962
8,1,800,0.5558
8,1,1000,0.5339
8,1,1000,0.5962
8,1,1000,0.5558
8,2,400,0.0095
8,2,400,0.0108
8,2,400,0.0129
8,2,800,0.0323
8,2,800,0.0407
8,2,800,0.0147
8,2,1000,0.0218
8,2,1000,0.0175
8,2,1000,0.0175
8,3,400,0.014
8,3,400,0.0262
8,3,400,0.0162
8,3,800,0.0203
8,3,800,0.0189
8,3,800,0.016
8,3,1000,0.0156
8,3,1000,0.0467
8,3,1000,0.0163
8,4,400,0.0249
8,4,400,0.0192
8,4,400,0.0257
8,4,800,0.0811
8,4,800,0.0784
8,4,800,0.0424
8,4,1000,0.0576
8,4,1000,0.0679
8,4,1000,0.0365
8,5,400,0.0146
8,5,400,0.0173
8,5,400,0.0172
8,5,800,0.0056
8,5,800,0.0198
8,5,800,0.0553
8,5,1000,0.0362
8,5,1000,0.0768
8,5,1000,0.0201
10,1,400,0.8018
10,1,400,0.6997
10,1,400,0.6826
10,1,800,0.8018
10,1,800,0.6997
10,1,800,0.6826
10,1,1000,0.8018
10,1,1000,0.6997
10,1,1000,0.6826
10,2,400,0.0148
10,2,400,0.0101
10,2,400,0.0134
10,2,800,0.0125
10,2,800,0.0134
10,2,800,0.0115
10,2,1000,0.0157
10,2,1000,0.0163
10,2,1000,0.0174
10,3,400,0.0109
10,3,400,0.0115
10,3,400,0.0113
10,3,800,0.0064
10,3,800,0.0069
10,3,800,0.0067
10,3,1000,0.0057
10,3,1000,0.0052
10,3,1000,0.0053
10,4,400,0.0172
10,4,400,0.0181
10,4,400,0.0161
10,4,800,0.0043
10,4,800,0.0086
10,4,800,0.0081
10,4,1000,0.0313
10,4,1000,0.0133
10,4,1000,0.0234
10,5,400,0.0156
10,5,400,0.019
10,5,400,0.017
10,5,800,0.0017
10,5,800,9e-4
10,5,800,0.0031
10,5,1000,0.001
10,5,1000,0.0042
10,5,1000,0.006
24,1,400,1.0742
24,1,400,1.0488
24,1,400,0.968
24,1,800,1.0742
24,1,800,1.0488
24,1,800,0.968
24,1,1000,1.0742
24,1,1000,1.0488
24,1,1000,0.968
24,2,400,0.0118
24,2,400,0.0102
24,2,400,0.0109
24,2,800,0.0164
24,2,800,0.0273
24,2,800,0.0134
24,2,1000,0.0209
24,2,1000,0.0142
24,2,1000,0.0206
24,3,400,0.0133
24,3,400,0.0132
24,3,400,0.0122
24,3,800,0.0331
24,3,800,0.009
24,3,800,0.0154
24,3,1000,0.003
24,3,1000,0.0047
24,3,1000,0.0065
24,4,400,0.0198
24,4,400,0.0254
24,4,400,0.0638
24,4,800,0.1009
24,4,800,0.0186
24,4,800,0.0882
24,4,1000,0.0689
24,4,1000,0.0621
24,4,1000,0.0033
24,5,400,0.0106
24,5,400,0.1193
24,5,400,0.1516
24,5,800,0.1646
24,5,800,0.0435
24,5,800,0.0431
24,5,1000,0.0024
24,5,1000,0.002
24,5,1000,0.002
