Tiempo (Hrs),Tratamiento,Concentración,Absorvancia
0,1,400,0.0213
0,1,400,0.0222
0,1,400,0.0222
0,1,800,0.0213
0,1,800,0.0222
0,1,800,0.0222
0,1,1000,0.0213
0,1,1000,0.0222
0,1,1000,0.0222
0,2,400,0.0160
0,2,400,0.0213
0,2,400,0.0177
0,2,800,0.0019
0,2,800,0.0068
0,2,800,0.0207
0,2,1000,0.0324
0,2,1000,0.0213
0,2,1000,0.0076
0,3,400,0.0086
0,3,400,0.0065
0,3,400,0.0103
0,3,800,0.0030
0,3,800,0.0023
0,3,800,0.0093
0,3,1000,0.0127
0,3,1000,0.0087
0,3,1000,0.0038
0,4,400,0.0180
0,4,400,0.0153
0,4,400,0.0190
0,4,800,0.0036
0,4,800,0.0572
0,4,800,0.0066
0,4,1000,0.0268
0,4,1000,0.0314
0,4,1000,0.0362
0,5,400,0.0126
0,5,400,0.0057
0,5,400,0.0097
0,5,800,0.0119
0,5,800,0.0058
0,5,800,0.0051
0,5,1000,0.0272
0,5,1000,0.0337
0,5,1000,0.0078
2,1,400,0.085
2,1,400,0.084
2,1,400,0.0825
2,1,800,0.085
2,1,800,0.084
2,1,800,0.0825
2,1,1000,0.085
2,1,1000,0.084
2,1,1000,0.0825
2,2,400,0.032
2,2,400,0.03
2,2,400,0.0268
2,2,800,0.0031
2,2,800,0.007
2,2,800,0.0078
2,2,1000,0.0095
2,2,1000,0.0067
2,2,1000,0.0018
2,3,400,0.0381
2,3,400,0.038
2,3,400,0.0359
2,3,800,0.0205
2,3,800,0.0248
2,3,800,0.0376
2,3,1000,0.0161
2,3,1000,0.0223
2,3,1000,0.0198
2,4,400,0.0497
2,4,400,0.0449
2,4,400,0.0417
2,4,800,0.0232
2,4,800,0.0505
2,4,800,0.0358
2,4,1000,0.0338
2,4,1000,0.0347
2,4,1000,0.0215
2,5,400,0.0501
2,5,400,0.0473
2,5,400,0.0487
2,5,800,0.0426
2,5,800,0.0429
2,5,800,0.0366
2,5,1000,0.034
2,5,1000,0.0221
2,5,1000,0.0266
4,1,400,0.1719
4,1,400,0.1858
4,1,400,0.1723
4,1,800,0.1719
4,1,800,0.1858
4,1,800,0.1723
4,1,1000,0.1719
4,1,1000,0.1858
4,1,1000,0.1723
4,2,400,0.1403
4,2,400,0.1402
4,2,400,0.1416
4,2,800,0.0529
4,2,800,0.0578
4,2,800,0.0617
4,2,1000,0.0288
4,2,1000,0.0259
4,2,1000,0.0321
4,3,400,0.0503
4,3,400,0.0436
4,3,400,0.0277
4,3,800,0.005
4,3,800,0.0258
4,3,800,0.0322
4,3,1000,0.024
4,3,1000,0.0192
4,3,1000,0.0253
4,4,400,0.1109
4,4,400,0.1067
4,4,400,0.1106
4,4,800,0.0498
4,4,800,0.0455
4,4,800,0.036
4,4,1000,0.0381
4,4,1000,0.002
4,4,1000,0.0245
4,5,400,0.0407
4,5,400,0.0421
4,5,400,0.0333
4,5,800,0.0346
4,5,800,0.0438
4,5,800,0.0433
4,5,1000,0.0262
4,5,1000,0.0439
4,5,1000,0.0414
6,1,400,0.306
6,1,400,0.2829
6,1,400,0.2834
6,1,800,0.306
6,1,800,0.2829
6,1,800,0.2834
6,1,1000,0.306
6,1,1000,0.2829
6,1,1000,0.2834
6,2,400,0.0796
6,2,400,0.084
6,2,400,0.0754
6,2,800,0.0251
6,2,800,0.0352
6,2,800,0.0353
6,2,1000,0.017
6,2,1000,0.0233
6,2,1000,0.0185
6,3,400,0.1923
6,3,400,0.1928
6,3,400,0.1866
6,3,800,0.0896
6,3,800,0.0929
6,3,800,0.0812
6,3,1000,0.0526
6,3,1000,0.0595
6,3,1000,0.0579
6,4,400,0.1021
6,4,400,0.1023
6,4,400,0.1064
6,4,800,0.0643
6,4,800,0.0659
