Tiempo,Tratamiento,Concentracion,norm
0,1,400,0.0125
0,1,400,0.0058
0,1,400,0.0107
0,1,800,0.0125
0,1,800,0.0058
0,1,800,0.0107
0,1,1000,0.0125
0,1,1000,0.0058
0,1,1000,0.0107
0,2,400,0.026
0,2,400,0.0134
0,2,400,0.0198
0,2,800,0.013
0,2,800,0.0135
0,2,800,0.0179
0,2,1000,0.0221
0,2,1000,0.0063
0,2,1000,0.0206
0,3,400,0.0241
0,3,400,0.0329
0,3,400,0.0031
0,3,800,0.0247
0,3,800,0.0082
0,3,800,0.0227
0,3,1000,0.0095
0,3,1000,0.0246
0,3,1000,0.0028
0,4,400,0.0151
0,4,400,0.0098
0,4,400,0.0153
0,4,800,0.0282
0,4,800,0.0496
0,4,800,0.0155
0,4,1000,0.029
0,4,1000,0.016
0,4,1000,0.0119
0,5,400,0.0109
0,5,400,0.0164
0,5,400,0.017
0,5,800,0.0277
0,5,800,0.0341
0,5,800,0.0579
0,5,1000,0.0268
0,5,1000,0.0265
0,5,1000,0.0105
2,1,400,0.0187
2,1,400,0.0157
2,1,400,0.0212
2,1,800,0.0187
2,1,800,0.0157
2,1,800,0.0212
2,1,1000,0.0187
2,1,1000,0.0157
2,1,1000,0.0212
2,2,400,0.0284
2,2,400,0.0179
2,2,400,0.0165
2,2,800,0.027
2,2,800,0.0248
2,2,800,0.0262
2,2,1000,0.051
2,2,1000,0.0487
2,2,1000,0.0698
2,3,400,0.0134
2,3,400,0.0058
2,3,400,0.0094
2,3,800,0.0147
2,3,800,0.0463
2,3,800,0.0428
2,3,1000,0.0013
2,3,1000,0.032
2,3,1000,0.0017
2,4,400,0.0383
2,4,400,0.0352
2,4,400,0.0284
2,4,800,0.0231
2,4,800,0.0255
2,4,800,0.0267
2,4,1000,0.0328
2,4,1000,0.0324
2,4,1000,0.0332
2,5,400,0.0374
2,5,400,0.046
2,5,400,0.0433
2,5,800,0.008
2,5,800,0.0153
2,5,800,0.0121
2,5,1000,0.0436
2,5,1000,0.0584
2,5,1000,0.0626
4,1,400,0.0363
4,1,400,0.0388
4,1,400,0.0392
4,1,800,0.0363
4,1,800,0.0388
4,1,800,0.0392
4,1,1000,0.0363
4,1,1000,0.0388
4,1,1000,0.0392
4,2,400,0.0158
4,2,400,0.024
4,2,400,0.0242
4,2,800,0.0319
4,2,800,0.0691
4,2,800,0.0347
4,2,1000,0.0288
4,2,1000,0.0454
4,2,1000,0.0674
4,3,400,-0.0077
4,3,400,0.0068
4,3,400,0.0047
4,3,800,0.0003
4,3,800,0.0005
4,3,800,0.0041
4,3,1000,0.0008
4,3,1000,-0.0231
4,3,1000,0.034
4,4,400,0.0279
4,4,400,0.0178
4,4,400,0.0238
4,4,800,0.0388
4,4,800,0.0224
4,4,800,0.0151
4,4,1000,0.0311
4,4,1000,0.03
4,4,1000,0.0124
4,5,400,0.0011
4,5,400,0.0093
4,5,400,0.0053
4,5,800,0.0081
4,5,800,0.0173
4,5,800,0.0194
4,5,1000,0.0051
4,5,1000,0.0171
4,5,1000,0.0156
6,1,400,0.0744
6,1,400,0.073
6,1,400,0.0678
6,1,800,0.0744
6,1,800,0.073
6,1,800,0.0678
6,1,1000,0.0744
6,1,1000,0.073
6,1,1000,0.0678
6,2,400,0.013
6,2,400,0.0174
6,2,400,0.0143
6,2,800,0.0114
6,2,800,0.0178
6,2,800,0.0169
6,2,1000,0.0233
6,2,1000,0.0388
6,2,1000,0.0278
6,3,400,0.01
6,3,400,0.0079
6,3,400,0.0089
6,3,800,0.0012
6,3,800,0.002
6,3,800,0.0127
6,3,1000,-0.004
6,3,1000,-0.001
6,3,1000,-0.0042
6,4,400,0.0129
6,4,400,0.0095
6,4,400,0.0006
6,4,800,0.0072
6,4,800,0.0141
6,4,800,0.0115
6,4,1000,0.0065
6,4,1000,0.0074
6,4,1000,0.0021
6,5,400,0.0029
6,5,400,0.0014
6,5,400,0.0127
6,5,800,0.0114
6,5,800,0.0108
6,5,800,0.0105
6,5,1000,0.0108
6,5,1000,0.0088
6,5,1000,0.0017
8,1,400,0.114
8,1,400,0.0993
8,1,400,0.1065
8,1,800,0.114
8,1,800,0.0993
8,1,800,0.1065
8,1,1000,0.114
8,1,1000,0.0993
8,1,1000,0.1065
8,2,400,0.0166
8,2,400,0.0164
8,2,400,0.0194
8,2,800,0.0244
8,2,800,0.0282
8,2,800,0.029
8,2,1000,0.0256
8,2,1000,0.0237
8,2,1000,0.0231
8,3,400,0.0205
8,3,400,0.0158
8,3,400,0.0209
8,3,800,0.0225
8,3,800,0.0115
8,3,800,0.0137
8,3,1000,0.0036
8,3,1000,0.0025
8,3,1000,0.0078
8,4,400,0.0255
8,4,400,0.0188
8,4,400,0.0076
8,4,800,0.003
8,4,800,0.0225
8,4,800,0.0187
8,4,1000,0.0172
8,4,1000,0.0214
8,4,1000,0.0087
8,5,400,0.0085
8,5,400,0.0084
8,5,400,0.0105
8,5,800,0.0108
8,5,800,-0.0022
8,5,800,0.0004
8,5,1000,0.0207
8,5,1000,0.0312
8,5,1000,0.0358
10,1,400,0.134
10,1,400,0.1498
10,1,400,0.1479
10,1,800,0.134
10,1,800,0.1498
10,1,800,0.1479
10,1,1000,0.134
10,1,1000,0.1498
10,1,1000,0.1479
10,2,400,0.02
10,2,400,0.0254
10,2,400,0.0229
10,2,800,0.019
10,2,800,0.0185
10,2,800,0.0185
10,2,1000,0.0318
10,2,1000,0.0343
10,2,1000,0.0327
10,3,400,0.0054
10,3,400,0.0123
10,3,400,0.0108
10,3,800,0.0027
10,3,800,0.0078
10,3,800,0.0122
10,3,1000,0.0007
10,3,1000,0.0136
10,3,1000,-0.0053
10,4,400,0.0326
10,4,400,0.0228
10,4,400,0.0186
10,4,800,0.0091
10,4,800,0.0158
10,4,800,0.0118
10,4,1000,0.0115
10,4,1000,0.0143
10,4,1000,0.0064
10,5,400,0.004
10,5,400,0.0067
10,5,400,0.0082
10,5,800,0.0036
10,5,800,0.0056
10,5,800,0.0026
10,5,1000,0.0165
10,5,1000,0.0157
10,5,1000,0.0093
24,1,400,0.2726
24,1,400,0.2649
24,1,400,0.2757
24,1,800,0.2726
24,1,800,0.2649
24,1,800,0.2757
24,1,1000,0.2726
24,1,1000,0.2649
24,1,1000,0.2757
24,2,400,0.0254
24,2,400,0.0298
