tiempo,Tratamiento,Conc,abs
0,1,400,0.0263
0,1,400,0.0227
0,1,400,0.0222
0,1,800,0.0263
0,1,800,0.0227
0,1,800,0.0222
0,1,1000,0.0263
0,1,1000,0.0227
0,1,1000,0.0222
0,2,400,0.0201
0,2,400,0.018
0,2,400,0.0198
0,2,800,0.0162
0,2,800,0.0154
0,2,800,0.0138
0,2,1000,0.016
0,2,1000,0.0157
0,2,1000,0.0144
0,3,400,0.0239
0,3,400,0.0241
0,3,400,0.0222
0,3,800,0.0194
0,3,800,0.0206
0,3,800,0.0191
0,3,1000,0.0191
0,3,1000,0.0193
0,3,1000,0.0208
0,4,400,0.0195
0,4,400,0.0193
0,4,400,0.0191
0,4,800,0.0197
0,4,800,0.0215
0,4,800,0.0212
0,4,1000,0.0194
0,4,1000,0.0168
0,4,1000,0.0169
0,5,400,0.0209
0,5,400,0.0229
0,5,400,0.0228
0,5,800,0.0208
0,5,800,0.0196
0,5,800,0.0183
0,5,1000,0.0146
0,5,1000,0.0206
0,5,1000,0.0177
2,1,400,0.3167
2,1,400,0.3605
2,1,400,0.4305
2,1,800,0.3167
2,1,800,0.3605
2,1,800,0.4305
2,1,1000,0.3167
2,1,1000,0.3605
2,1,1000,0.4305
2,2,400,0.2166
2,2,400,0.2342
2,2,400,0.2458
2,2,800,0.1291
2,2,800,0.1283
2,2,800,0.1345
2,2,1000,0.1024
2,2,1000,0.1014
2,2,1000,0.1033
2,3,400,0.2687
2,3,400,0.2798
2,3,400,0.2563
2,3,800,0.0968
2,3,800,0.0993
2,3,800,0.1001
2,3,1000,0.0896
2,3,1000,0.0929
2,3,1000,0.0941
2,4,400,0.2568
2,4,400,0.2737
2,4,400,0.2647
2,4,800,0.1919
2,4,800,0.1901
2,4,800,0.1883
2,4,1000,0.1499
2,4,1000,0.1679
2,4,1000,0.1714
2,5,400,0.2818
2,5,400,0.2919
2,5,400,0.3079
2,5,800,0.235
2,5,800,0.2544
2,5,800,0.2519
2,5,1000,0.2013
2,5,1000,0.2074
2,5,1000,0.2059
4,1,400,0.4962
4,1,400,0.5265
4,1,400,0.511
4,1,800,0.4962
4,1,800,0.5265
4,1,800,0.511
4,1,1000,0.4962
4,1,1000,0.5265
4,1,1000,0.511
4,2,400,0.3611
4,2,400,0.3719
4,2,400,0.3983
4,2,800,0.2063
4,2,800,0.2189
4,2,800,0.1635
4,2,1000,0.16
4,2,1000,0.1812
4,2,1000,0.1796
